"","OWNERID","NAME","CREATEDDATE","CREATEDBYID","STREET_LINE__C","GIS_LONG__C","CONTINENT__C","POST_CODE__C","NEIGHBOURHOOD__C","GIS_INFO__C","COUNTRY__C","PROVINCE__C","SUBMITTED_BY__C","GIS_LAT__C","MUNICIPALITY__C","CITY__C"
"1","005a0000009DdDzAAK","Chapman's Peak Drive","2009-11-02T10:18:20.000Z","00530000002TwzjAAC",NA,18.35946,"Africa",NA,"Kalk Bay","-34.088093, 18.35946","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",-34.088093,"City of Cape Town Metropolitan Municipality (South Peninsula) (CPT)","Cape Town"
"2","00530000002TwzjAAC","Milner Road","2009-08-14T13:28:32.000Z","00530000002TwzjAAC",NA,18.488698,"Africa","7700","Rondebosch","-33.963874, 18.48869","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",-33.963874,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"3","00530000002TwzjAAC","Main Road, Kalk Bay","2009-08-14T13:15:37.000Z","00530000002TwzjAAC",NA,18.446444,"Africa","7975","Kalk Bay","-34.132125, 18.44644","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",-34.132125,"City of Cape Town Metropolitan Municipality (False Bay) (CPT)","Cape Town"
"4","00530000002TwzjAAC","Arise Centre (Heideveld)","2010-05-12T12:16:05.000Z","00530000002TwzjAAC","Heideveld Road",18.554342,"Africa","7764","Heideveld","-33.963118, 18.55434","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",-33.963118,"City of Cape Town Metropolitan Municipality (Cape Flats) (CPT)","Cape Town"
"5","00513000009tR1AAAU","Retreat Haven","2015-02-17T08:44:27.000Z","00513000009tR1AAAU","10th Avenue",18.477574,"Africa",NA,"Retreat","-34.054476, 18.47757","South Africa","Western Cape","U-turn Homeless Ministry-Lise van den Dool",-34.054476,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"6","00530000002TwzjAAC","U-turn charity store claremont","2010-05-18T14:08:07.000Z","00530000002TwzjAAC","Stanley Road",18.471965,"Africa","7708","Claremont","-33.983781, 18.47196","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",-33.983781,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"7","00530000003RrcyAAC","Tafelsig CHC","2010-05-17T13:46:23.000Z","00530000003RrcyAAC","CO Kilomanjaro Rd&Pyreneez Rd",18.632063,"Africa",NA,"Mitchels Plain","-34.063084, 18.63206","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-34.063084,"City of Cape Town Metropolitan Municipality (Cape Flats) (CPT)","Cape Town"
"8","005a00000082ci7AAA","U-turn Charity Shop Long Street","2016-11-11T13:26:08.000Z","005a00000082ci7AAA",NA,18.422396,"Africa",NA,"City Bowl","-33.919679, 18.42239","South Africa","Western Cape","U-turn Homeless Ministry-Themba Mazibuko",-33.919679,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"9","00530000001A3mkAAC","St Stephen's Church","2008-11-24T10:08:46.000Z","00530000001A3mkAAC","86 Belvedere Road",-33.979289,"Africa","7700","Claremont","-33.979289, 18.48207","South Africa","Western Cape","U-turn Homeless Ministry-Sean Parker",18.48207,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"10","00530000000vJXIAA2","U-turn Powerhouse","2008-11-07T09:46:07.000Z","00530000000vJXIAA2","14 Stegman road",18.465679,"Africa","7708","Claremont","-33.979123, 18.46567","South Africa","Western Cape","U-turn Homeless Ministry-Sam Vos",-33.979123,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"11","00513000009tR1AAAU","Loaves and Fishes Restoration Center","2016-04-06T07:06:29.000Z","00513000009tR1AAAU","1 Lower Rochester Street",-33.930451,"Africa",NA,"Observatory","-33.930451, 18.46742","South Africa","Western Cape","U-turn Homeless Ministry-Lise van den Dool",18.46742,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"12","00530000001A3mkAAC","U-turn (Fir Street)","2008-11-24T10:07:53.000Z","00530000001A3mkAAC","2 Fir Street",18.466435,"Africa","7700","Claremont","-33.977173, 18.46643","South Africa","Western Cape","U-turn Homeless Ministry-Sean Parker",-33.977173,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"13","00530000001A3mkAAC","Rocklands Camp site","2011-03-18T12:33:32.000Z","00530000001A3mkAAC",NA,18.462278,"Africa","7995","Simonstown","-34.214171, 18.46227","South Africa","Western Cape","U-turn Homeless Ministry-Sean Parker",-34.214171,"City of Cape Town Metropolitan Municipality (South Peninsula) (CPT)","Cape Town"
"14","00530000001A3mkAAC","U-turn Charity Shop Southfield","2011-03-18T12:40:10.000Z","00530000001A3mkAAC","132 Victoria Road",18.465679,"Africa","7800","Southfield","-34.034343, 18.48502","South Africa","Western Cape","U-turn Homeless Ministry-Sean Parker",-33.979123,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"15","005a0000009DdDzAAK","Plumstead Methodist Church","2014-08-11T11:24:51.000Z","005a0000009DdDzAAK","Main Road",34.020915,"Africa","7945","Plumstead","34.020915, 18.466992","South Africa","Western Cape","U-turn Homeless Ministry-Jacquie Besselaar",18.466992,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"16","00530000006r3xJAAQ","Turn the Tide","2016-02-01T10:11:11.000Z","00530000006r3xJAAQ","1 Zonda Avenue",26.137382,"Africa",NA,"Parktown","26.137382, 28.010082","South Africa","Gauteng","U-turn Homeless Ministry-Annakie Gammon",28.010082,"City of Johannesburg Metropolitan Municipality (JHB)","Johannesburg"
"17","00530000003RrcyAAC","Wynberg Magistrate Court","2014-04-07T13:03:58.000Z","00530000003RrcyAAC","Church Street",-34.00401,"Africa","7708","Wynberg","-34.004010, 18.46590","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.4659,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"18","00530000003RrcyAAC","Wynberg Police Station","2014-04-07T13:02:25.000Z","00530000003RrcyAAC","Church Street",-34.004107,"Africa","7708","Wynberg","-34.004107, 18.46487","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.46487,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"19","00530000003RrcyAAC","Vision Child and Youth Care","2014-08-15T13:27:27.000Z","00530000003RrcyAAC","Jackson Street",-33.984389,"Africa",NA,"Athlone","-33.984389, 18.52515","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.52515,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"20","00530000003RrcyAAC","U-turn Charity Shop Phillipi","2014-01-21T10:38:31.000Z","00530000003RrcyAAC",NA,18.652945,"Africa",NA,"Phillipi","-34.013025, 18.65294","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-34.013025,"City of Cape Town Metropolitan Municipality (Cape Flats) (CPT)","Cape Town"
"21","00530000006r3xJAAQ","Fountains Hotel","2014-02-03T08:54:15.000Z","00530000006r3xJAAQ","Adderley Street",-33.919745,"Africa",NA,"Centre","-33.919745, 18.42476","South Africa","Western Cape","U-turn Homeless Ministry-Annakie Gammon",18.42476,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"22","00530000003RrcyAAC","Patch Helderberg","2014-07-18T12:53:39.000Z","00530000003RrcyAAC","Cnr Dummer & Dorhill Close",18.845156,"Africa",NA,"Somerset west","-34.074657, 18.84515","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-34.074657,"City of Cape Town Metropolitan Municipality (False Bay) (CPT)","Cape Town"
"23","00530000003RrcyAAC","SOS Children's Village","2014-07-18T12:49:10.000Z","00530000003RrcyAAC","Matopo Road",18.527029,"Africa",NA,"Thornton","-33.926049, 18.52702","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-33.926049,"City of Cape Town Metropolitan Municipality (Atlantic Seaboard) (CPT)","Cape Town"
"24","00530000001UBgvAAG","Fir Street","2009-05-25T08:02:16.000Z","00530000001UBgvAAG",NA,18.466813,"Africa","7700","Claremont","-33.980870, 18.46681","South Africa","Western Cape","U-turn Homeless Ministry-Karen Cain",-33.98087,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"25","00530000000vJXIAA2","sam's home","2009-08-12T11:36:05.000Z","00530000000vJXIAA2","61 Balfour Road",18.491802,"Africa","7708","Rondebosch","-33.957748, 18.49180","South Africa","Western Cape","U-turn Homeless Ministry-Sam Vos",-33.957748,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"26","00530000003RrcyAAC","Pollsmoor Prison","2014-04-17T08:53:20.000Z","00530000003RrcyAAC",NA,-34.06841,"Africa",NA,"Tokia","-34.068410, 18.43187","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.43187,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"27","00530000003RrcyAAC","Hospital in City","2013-04-06T18:53:42.000Z","00530000003RrcyAAC",NA,-33.922777,"Africa",NA,"Various","-33.922777, 18.41867","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.41867,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"28","00530000001A3mkAAC","Living Grace Muizenberg","2012-03-06T10:30:21.000Z","00530000001A3mkAAC","171 Main Road",34.108949,"Africa","7945","Muizenberg","34.108949, 18.467893","South Africa","Western Cape","U-turn Homeless Ministry-Sean Parker",18.467893,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"29","00530000003RrcyAAC","Uthando Linkosi","2013-04-17T07:22:12.000Z","00530000003RrcyAAC",NA,34.034986,"Africa",NA,"Plumstead","34.034986, 18.465980","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.46598,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"30","00530000003RrcyAAC","The Trauma Center","2013-04-17T08:50:55.000Z","00530000003RrcyAAC","Chapel Street",18.437549,"Africa",NA,"Woodstock","-33.929089, 18.43754","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-33.929089,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"31","00530000003RrcyAAC","Red Cross Children's Hospital","2013-04-17T07:00:06.000Z","00530000003RrcyAAC",NA,18.487655,"Africa",NA,"Rondebosch","-33.954537, 18.48765","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-33.954537,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"32","00530000003RrcyAAC","Cape Town Central Library","2013-04-17T07:25:28.000Z","00530000003RrcyAAC",NA,18.42456,"Africa",NA,"Cape Town","-33.925750, 18.42456","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-33.92575,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"33","00530000003RrcyAAC","Department of Social Development","2013-04-17T07:10:04.000Z","00530000003RrcyAAC",NA,-33.924837,"Africa",NA,"Mitchells Plain","-33.924837, 18.41843","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.41843,"City of Cape Town Metropolitan Municipality (Cape Flats) (CPT)","Mitchells Plain"
"34","005a0000009DdDzAAK","Christchurch Midrand","2014-05-16T08:29:00.000Z","005a0000009DdDzAAK","Cnr. 9th & 11th Roads, Erand,",-25.970913,"Africa",NA,"Midrand","-25.970913, 28.11387","South Africa","Gauteng","U-turn Homeless Ministry-Jacquie Besselaar",28.11387,"City of Johannesburg Metropolitan Municipality (JHB)","Johannesburg"
"35","00530000001A3mkAAC","IQ Business Park","2012-06-25T09:10:11.000Z","00530000001A3mkAAC","3 Third Avenue",-26.064003,"Africa",NA,"Rivonia","-26.064003, 28.06115","South Africa","Gauteng","U-turn Homeless Ministry-Sean Parker",28.06115,"City of Johannesburg Metropolitan Municipality (JHB)","Johannesburg"
"36","00530000003RrcyAAC","Psychology Practice","2013-04-10T13:27:28.000Z","00530000003RrcyAAC","Aan-de-wagen Road",18.852645,"Africa",NA,"Stellenbosch","-33.940966, 18.85264","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-33.940966,"Stellenbosch Local Municipality (WC024)","Stellenbosch"
"37","00530000003RrcyAAC","Plumstead Preparatory School","2013-04-10T12:47:14.000Z","00530000003RrcyAAC","Totnes Road",18.487469,"Africa",NA,"Plumstead","-34.025393, 18.48746","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-34.025393,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"38","005300000044SwpAAE","Piers Road shelter","2008-05-22T10:41:04.000Z","00530000001A3mkAAC","2 Piers Road",-34.006946,"Africa",NA,"Wynberg","-34.006946, 18.46776","South Africa","Western Cape","U-turn Homeless Ministry-Sean Parker",18.46776,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"39","00530000003RrcyAAC","Lindalani","2013-04-23T13:32:56.000Z","00530000003RrcyAAC",NA,33.900287,"Africa",NA,"Koelenhof","33.900287, 18.480891","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.480891,"Stellenbosch Local Municipality (WC024)","Stellenbosch"
"40","00530000001A3mkAAC","St Joseph's College","2009-03-31T09:09:01.000Z","00530000001A3mkAAC",NA,33.958912,"Africa",NA,"Rondebosch","33.958912, 18.475466","South Africa","Western Cape","U-turn Homeless Ministry-Sean Parker",18.475466,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","cape town"
"41","00530000003RrcyAAC","U-turn Charity Shop Maynard Mall","2013-11-14T13:58:58.000Z","00530000003RrcyAAC",NA,18.469411,"Africa","7800","Wynberg","-34.002565, 18.46941","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-34.002565,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"42","00530000003RrcyAAC","Spur Newlands","2015-01-26T09:11:22.000Z","00530000003RrcyAAC","Main Road",33.971545,"Africa",NA,"Newlands","33.971545, 18.46484","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.46484,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"43","00530000000yQOsAAM","Rondebosch Police Station","2011-04-15T12:52:53.000Z","00530000000yQOsAAM","Church Street",33.9627,"Africa","7800","Rondebosch","33.962700, 18.468560","South Africa","Western Cape","U-turn Homeless Ministry-Dylan Marais",18.46856,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"44","00530000002TwzjAAC","Muizenberg - Beach","2009-10-05T14:32:46.000Z","00530000002TwzjAAC",NA,18.46797,"Africa",NA,"Muizenberg","-34.109443, 18.46797","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",-34.109443,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"45","00530000002TwzjAAC","Fish Hoek - Beach","2009-10-05T14:28:32.000Z","00530000002TwzjAAC",NA,-34.136462,"Africa",NA,"Fish Hoek","-34.136462, 18.43498","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",18.43498,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"46","00530000000vJXIAA2","test for DELSTAT","2010-10-07T11:52:04.000Z","00530000000vJXIAA2","54 church street",18.419081,"Africa","PL3 5eu","langkloof","-33.923121, 18.41908","South Africa","Eastern Cape","U-turn Homeless Ministry-Sam Vos",-33.923121,"Baviaans Local Municipality (EC107)","langkloof"
"47","005a0000009DdDzAAK","Graze Coffee Shop","2015-09-04T07:57:56.000Z","005a0000009DdDzAAK","155 2nd Ave",18.47876,"Africa","7708","Kenilworth","-33.997974, 18.47876","South Africa","Western Cape","U-turn Homeless Ministry-Jacquie Besselaar",-33.997974,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"48","00530000001jKtBAAU","Mitrekraft","2009-06-29T14:00:38.000Z","00530000001jKtBAAU","11th Avenue",18.480411,"Africa",NA,"Retreat","-34.059305, 18.48041","South Africa","Western Cape","U-turn Homeless Ministry-Roxy Garvey",-34.059305,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"49","00530000003RrcyAAC","Jubilee Community Church","2012-10-29T13:23:17.000Z","00530000003RrcyAAC",NA,18.469469,"Africa",NA,"Observatory","-33.932764, 18.46946","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-33.932764,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"50","00530000003RrcyAAC","Common Ground Wynberg","2012-10-29T15:45:40.000Z","00530000003RrcyAAC",NA,-33.958568,"Africa",NA,"Wynberg","-33.958568, 18.48613","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.48613,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"51","00530000003RrcyAAC","Shofar Church","2012-10-29T15:43:08.000Z","00530000003RrcyAAC",NA,18.46976,"Africa",NA,"Rondebosch","-33.960004, 18.46976","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",-33.960004,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
"52","00530000006r3xJAAQ","Pinotage Youth Dev Academy","2013-08-06T10:39:20.000Z","00530000006r3xJAAQ",NA,33.934149,"Africa",NA,"Bosman's Crossing","33.934149, 18.858043","South Africa","Western Cape","U-turn Homeless Ministry-Annakie Gammon",18.858043,"Stellenbosch Local Municipality (WC024)","Stellenbosch"
"53","00530000003RrcyAAC","Outdoor recreational space","2012-10-29T13:05:29.000Z","00530000003RrcyAAC",NA,NA,"Africa",NA,"Other",NA,"South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",NA,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"54","00530000003RrcyAAC","The Training Academy (Straatwerk)","2013-08-02T10:12:39.000Z","00530000003RrcyAAC","Canterbury Road",-33.890299,"Africa",NA,"City Center","-33.890299, 18.59737","South Africa","Western Cape","U-turn Homeless Ministry-Anneke Buys",18.59737,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"55","00530000002TwzjAAC","Lion's Head","2009-12-03T06:06:45.000Z","00530000002TwzjAAC","Lion's Head",-33.934851,"Africa",NA,"Tamboerskloof","-33.934851, 18.38897","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",18.38897,"City of Cape Town Metropolitan Municipality (City Bowl) (CPT)","Cape Town"
"56","00530000002TwzjAAC","Kirstenbosch Botanical Gardens","2009-12-18T09:24:57.000Z","00530000002TwzjAAC","Kirstenbosch Botanical Gardens",18.435386,"Africa",NA,"Constantia","-33.986463, 18.43538","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",-33.986463,"City of Cape Town Metropolitan Municipality (South Peninsula) (CPT)","Cape Town"
"57","00530000002TwzjAAC","U-turn HQ 155 2nd Ave","2011-02-02T12:44:49.000Z","00530000002TwzjAAC","155 2nd Ave",-33.994143,"Africa","7708","Kenilworth","-33.994143, 18.47404","South Africa","Western Cape","U-turn Homeless Ministry-Jaki North",18.47404,"City of Cape Town Metropolitan Municipality (Southern Suburbs) (CPT)","Cape Town"
